"map_version","operation","entity","support_allowed","actual_result","reject_codes","json_paths","affected_refs"
"cimc_v02","road_massLimitKg_design_assumption","R_CR_50530d1b95","true","changed","","","roads/R_CR_50530d1b95;movements/M_CR_420ca36bb9;movements/M_CR_991fa3f400;movements/M_CR_c755f28938;movements/M_CR_ce36289b3e;movements/M_CR_2299a994e0;movements/M_CR_1b88fb41af;junctions/J_CR_de6aba3c0d;resources/RES_J_CR_de6aba3c0d;sources/SRC_GA01_parameter_probe"
"cimc_v02","road_speedLimitMps_design_assumption","R_CR_50530d1b95","true","changed","","","roads/R_CR_50530d1b95;movements/M_CR_420ca36bb9;movements/M_CR_991fa3f400;movements/M_CR_c755f28938;movements/M_CR_ce36289b3e;movements/M_CR_2299a994e0;movements/M_CR_1b88fb41af;junctions/J_CR_de6aba3c0d;resources/RES_J_CR_de6aba3c0d;sources/SRC_GA01_parameter_probe"
"cimc_v02","road_width_speed_design_assumption","R_CR_50530d1b95","true","changed","","","roads/R_CR_50530d1b95;movements/M_CR_420ca36bb9;movements/M_CR_991fa3f400;movements/M_CR_c755f28938;movements/M_CR_ce36289b3e;movements/M_CR_2299a994e0;movements/M_CR_1b88fb41af;junctions/J_CR_de6aba3c0d;resources/RES_J_CR_de6aba3c0d;sources/SRC_GA01_B_parameter_test"
"cimc_v02","staticMove_expected_blocked","facilities/F_CR009","false","rejected","STATIC_SHARED_NODE","/nodes/N_CR_f79e0f8c95",""
"dalian_v01","name_only_not_geometry","F_DL002","true","changed","","","facilities/F_DL002"
"dalian_v01","node_position","N_DL_b3d5453746","true","changed","","","nodes/N_DL_b3d5453746;roads/R_DL_dd4384110c;movements/M_DL_4699a32598;movements/M_DL_0786b02b47;movements/M_DL_fa44ec9736;movements/M_DL_3645660335;movements/M_DL_d9df3ddbe2;movements/M_DL_98f414112a;movements/M_DL_7b9ac022b0;movements/M_DL_770e98effc;movements/M_DL_0a8bc29da8;movements/M_DL_8ff775e370;movements/M_DL_7e58da019b;movements/M_DL_82f1223205;junctions/J_DL_50a0d0cfde;resources/RES_J_DL_50a0d0cfde;sources/source_editor_geometry"
"dalian_v01","node_translate","nodes/N_DL_b3d5453746","true","changed","","","nodes/N_DL_b3d5453746;roads/R_DL_dd4384110c;movements/M_DL_4699a32598;movements/M_DL_0786b02b47;movements/M_DL_fa44ec9736;movements/M_DL_3645660335;movements/M_DL_d9df3ddbe2;movements/M_DL_98f414112a;movements/M_DL_7b9ac022b0;movements/M_DL_770e98effc;movements/M_DL_0a8bc29da8;movements/M_DL_8ff775e370;movements/M_DL_7e58da019b;movements/M_DL_82f1223205;junctions/J_DL_50a0d0cfde;resources/RES_J_DL_50a0d0cfde;sources/source_editor_geometry"
"dalian_v01","road_translate","roads/R_DL_dd4384110c","true","changed","","","nodes/N_DL_50a0d0cfde;nodes/N_DL_b3d5453746;roads/R_DL_dd4384110c;roads/R_DL_1802a3aee6;roads/R_DL_d96de5bcf7;roads/R_DL_3798ff8fe6;movements/M_DL_683244af8b;movements/M_DL_20a72b765b;movements/M_DL_4699a32598;movements/M_DL_0786b02b47;movements/M_DL_fa44ec9736;movements/M_DL_3645660335;movements/M_DL_d9df3ddbe2;movements/M_DL_98f414112a;movements/M_DL_7b9ac022b0;movements/M_DL_770e98effc;movements/M_DL_0a8bc29da8;movements/M_DL_8ff775e370;movements/M_DL_7e58da019b;movements/M_DL_82f1223205;movements/M_DL_ced94f6659;movements/M_DL_15a3b4f1b4;movements/M_DL_1118999a1b;movements/M_DL_b381f20a4a;movements/M_DL_68ff8ffda3;movements/M_DL_720eed8fa9;movements/M_DL_37f170ebcb;movements/M_DL_aadf0a20b9;movements/M_DL_d4933786b5;movements/M_DL_c2e0785323;movements/M_DL_5db537a7c0;movements/M_DL_182ea77fd1;junctions/J_DL_41b00c0e8f;junctions/J_DL_50a0d0cfde;junctions/J_DL_70c474255d;junctions/J_DL_c884efaccc;resources/RES_J_DL_50a0d0cfde;resources/RES_J_DL_70c474255d;resources/RES_J_DL_c884efaccc;sources/source_editor_geometry"
"dalian_v01","road_shapePoints","R_DL_dd4384110c","true","changed","","","roads/R_DL_dd4384110c;movements/M_DL_4699a32598;movements/M_DL_0786b02b47;movements/M_DL_fa44ec9736;movements/M_DL_3645660335;movements/M_DL_d9df3ddbe2;movements/M_DL_98f414112a;movements/M_DL_7b9ac022b0;movements/M_DL_770e98effc;movements/M_DL_0a8bc29da8;movements/M_DL_8ff775e370;movements/M_DL_7e58da019b;movements/M_DL_82f1223205;junctions/J_DL_50a0d0cfde;resources/RES_J_DL_50a0d0cfde;sources/source_editor_geometry"
"dalian_v01","node_rotate","nodes/N_DL_b3d5453746","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
