"map_version","operation","entity","support_allowed","actual_result","reject_codes","json_paths","affected_refs"
"geoje_v01","node_rotate","nodes/N_GJ_98578c20a5","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"geoje_v01","road_rotate","roads/R_GJ_f5b5b6d617","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"geoje_v01","zone_boundary","Z_GJ001","true","changed","","","zones/Z_GJ001;sources/source_editor_geometry"
"geoje_v01","road_direction","R_GJ_f5b5b6d617","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_GJ_f5b5b6d617",""
"geoje_v01","boundary","F_GJ002","true","changed","","","facilities/F_GJ002;sources/source_editor_geometry"
"geoje_v01","boundary_translate","facilities/F_GJ002","true","changed","","","facilities/F_GJ002;sources/source_editor_geometry"
"geoje_v01","boundary_rotate","facilities/F_GJ002","true","changed","","","facilities/F_GJ002;sources/source_editor_geometry"
"geoje_v01","add_node","N_GA01_probe_add","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"geoje_v01","copy_boundary","facilities/F_GJ002","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"geoje_v01","delete_boundary","facilities/F_GJ002","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"geoje_v01","split_road","R_GJ_f5b5b6d617","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"geoje_v01","no_op_boundary","F_GJ002","true","no_op","","",""
"geoje_v01","road_widthM_design_assumption","R_GJ_f5b5b6d617","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_GJ_f5b5b6d617",""
"geoje_v01","road_heightLimitM_design_assumption","R_GJ_f5b5b6d617","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_GJ_f5b5b6d617",""
"geoje_v01","road_massLimitKg_design_assumption","R_GJ_f5b5b6d617","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_GJ_f5b5b6d617",""
"geoje_v01","road_speedLimitMps_design_assumption","R_GJ_f5b5b6d617","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_GJ_f5b5b6d617",""
"geoje_v01","staticMove_expected_blocked","facilities/F_GJ001","false","rejected","STATIC_SHARED_NODE","/nodes/N_GJ_564b53475c",""
"geoje_v02","name_only_not_geometry","F_GJ_MR_032","true","changed","","","facilities/F_GJ_MR_032"
"geoje_v02","node_position","N_MR_7ed7a13646cb","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/nodes/N_MR_7ed7a13646cb",""
"geoje_v02","node_translate","nodes/N_MR_7ed7a13646cb","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"geoje_v02","road_translate","roads/R_MR_44347252aedb","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"geoje_v02","road_shapePoints","R_MR_44347252aedb","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_MR_44347252aedb",""
"geoje_v02","node_rotate","nodes/N_MR_7ed7a13646cb","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"geoje_v02","road_rotate","roads/R_MR_44347252aedb","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"geoje_v02","zone_boundary","Z_GJ_MR01_W1","true","changed","","","zones/Z_GJ_MR01_W1;sources/source_editor_geometry"
"geoje_v02","road_direction","R_MR_44347252aedb","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_MR_44347252aedb",""
"geoje_v02","boundary","F_GJ_MR_032","true","changed","","","facilities/F_GJ_MR_032;sources/source_editor_geometry"
"geoje_v02","boundary_translate","facilities/F_GJ_MR_032","true","changed","","","facilities/F_GJ_MR_032;sources/source_editor_geometry"
"geoje_v02","boundary_rotate","facilities/F_GJ_MR_032","true","changed","","","facilities/F_GJ_MR_032;sources/source_editor_geometry"
"geoje_v02","add_node","N_GA01_probe_add","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"geoje_v02","copy_boundary","facilities/F_GJ_MR_032","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"geoje_v02","delete_boundary","facilities/F_GJ_MR_032","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"geoje_v02","split_road","R_MR_44347252aedb","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"geoje_v02","no_op_boundary","F_GJ_MR_032","true","no_op","","",""
"geoje_v02","road_widthM_design_assumption","R_MR_44347252aedb","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_MR_44347252aedb",""
"geoje_v02","road_heightLimitM_design_assumption","R_MR_44347252aedb","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_MR_44347252aedb",""
"geoje_v02","road_massLimitKg_design_assumption","R_MR_44347252aedb","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_MR_44347252aedb",""
"geoje_v02","road_speedLimitMps_design_assumption","R_MR_44347252aedb","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_MR_44347252aedb",""
"hanwha_v01","name_only_not_geometry","F_HW103","true","changed","","","facilities/F_HW103"
"hanwha_v01","node_position","N_HW_7874b56b34","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/nodes/N_HW_7874b56b34",""
"hanwha_v01","node_translate","nodes/N_HW_7874b56b34","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hanwha_v01","road_translate","roads/R_HW_5ff95e3729","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hanwha_v01","road_shapePoints","R_HW_5ff95e3729","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HW_5ff95e3729",""
"hanwha_v01","node_rotate","nodes/N_HW_7874b56b34","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hanwha_v01","road_rotate","roads/R_HW_5ff95e3729","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hanwha_v01","zone_boundary","Z_HW001","true","changed","","","zones/Z_HW001;sources/source_editor_geometry"
"hanwha_v01","road_direction","R_HW_5ff95e3729","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HW_5ff95e3729",""
"hanwha_v01","boundary","F_HW103","true","changed","","","facilities/F_HW103;sources/source_editor_geometry"
"hanwha_v01","boundary_translate","facilities/F_HW103","true","changed","","","facilities/F_HW103;sources/source_editor_geometry"
"hanwha_v01","boundary_rotate","facilities/F_HW103","true","changed","","","facilities/F_HW103;sources/source_editor_geometry"
"hanwha_v01","add_node","N_GA01_probe_add","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hanwha_v01","copy_boundary","facilities/F_HW103","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hanwha_v01","delete_boundary","facilities/F_HW103","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hanwha_v01","split_road","R_HW_5ff95e3729","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hanwha_v01","no_op_boundary","F_HW103","true","no_op","","",""
